,SAR,CUSTOMER_TYPE.x,RISK_RATING.x,PEP_FLAG,OFFSHORE_FLAG,BUSINESS_TYPE_DESCRIPTION,COMPANY_FORM,MAIN_RELATIONSHIP_MGR_SRC_UNID,PARENT_CHILD_FLAG,PLACE_OF_BIRTH,DOMESTIC_PEP_CODE,DOMESTIC_PEP_SOURCE_CODE,FOREIGN_PEP_CODE,FOREIGN_PEP_SOURCE_CODE,ADDRESS_COUNTRY_REGION,ADDRESS_COUNTRY_RISK_WEIGHT,CUST_TYPE_ALTERNATIVE_DESCR,BUSINESS_TYPE,BUSINESS_TYPE_DESC,AVG_MT103_DEBIT_3M,AVG_MT103_DEBIT_12M,RATIO_NUM_MT103_12M,TTL_NUM_IN_MT202_M1_TXN,TTL_NUM_IN_MT202_M2_TXN,TTL_NUM_IN_MT202_M3_TXN,TTL_NUM_IN_MT202_M4_TXN,TTL_NUM_IN_MT202_M5_TXN,TTL_NUM_IN_MT202_M6_TXN,TTL_NUM_IN_MT202_M7_TXN,TTL_NUM_IN_MT202_M8_TXN,TTL_NUM_IN_MT202_M9_TXN,TTL_NUM_IN_MT202_M10_TXN,TTL_NUM_IN_MT202_M11_TXN,TTL_NUM_IN_MT202_M12_TXN,TTL_NUM_IN_MT103_202C_M1_TXN,CLIENT_ACC_KNOWN_FOR_MONTH,pred_rf.No_SAR,pred_rf.SAR,ratio_bins
1591,No_SAR,FI - Corr-Bank Other,High Risk (special case),N,N,66-FI-Corr-B - Other Correspondent Bank,Aktiengesellschaft,WZBLNO,C,NA,NO_PEP,NONE,NO_PEP,NONE,EU28 - EWR,2,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,1231.67,1891.25,-34.88,1153,1193,1349,1268,999,1221,977,1560,2892,2844,2707,2781,2904,80,0.97,0.03,"(-36.4,31.8]"
1592,No_SAR,FI - Corr-Bank Other,High Risk (special case),N,N,66-FI-Corr-B - Other Correspondent Bank,Aktiengesellschaft,WZBGUB,C,NA,NO_PEP,NONE,NO_PEP,NONE,EU28 - EWR,2,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,509.33,344.25,47.95,478,567,483,454,460,366,382,392,318,330,227,55,97,84,0.68,0.32,"(43.6,51.6]"
1593,No_SAR,FI - Corr-Bank RUSSIA,High Risk (special case),N,N,66-FI-Corr-B-RU - Correspondent Bank from Russia,Aktiengesellschaft,WZBTOI1,C,Moskau,NO_PEP,NONE,NO_PEP,NONE,CIS-RUSSIA,3,11 - Banks - FI,66-FI-Corr-B-RU,66-FI-Corr-B-RU - Correspondent Bank from Russia,96.67,68.75,40.61,111,90,89,118,106,69,58,39,46,35,65,68,42,75,1.00,0.00,"(36.5,43.6]"
1594,No_SAR,FI - Corr-Bank Other,High Risk (special case),N,N,66-FI-Corr-B - Other Correspondent Bank,Aktiengesellschaft,WZBHEF1,C,NA,NO_PEP,NONE,NO_PEP,NONE,EUROPE,2,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,342,223.92,52.74,341,398,287,391,220,233,328,186,171,177,145,128,23,76,0.95,0.05,"(51.6,63.9]"
1595,No_SAR,FI - Corr-Bank Other,Low Risk (special case),N,N,66-FI-Corr-B - Other Correspondent Bank,Ges. m. b. H.,WZHSRY2,C,NA,NO_PEP,NONE,NO_PEP,NONE,EFTA - EWR,1,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,11.67,4.5,159.26,15,11,9,11,9,2,3,2,2,1,1,1,2,75,1.00,0.00,"(140,616]"
1596,No_SAR,FI - Corr-Bank Other,Low Risk (special case),N,N,64190 - Kreditinstitute (ohne Spezialkreditinstitute),Aktiengesellschaft,WZBMSG1,C,NA,NO_PEP,NONE,NO_PEP,NONE,EU15 - EWR,1,11 - Banks - FI,64190,64190 - Kreditinstitute (ohne Spezialkreditinstitute),4,131.92,-96.97,7,2,3,7,61,73,146,278,190,229,174,215,205,81,0.90,0.10,"(-99.1,-51.1]"
1597,No_SAR,FI - Corr-Bank RUSSIA,High Risk (special case),N,N,66-FI-Corr-B-RU - Correspondent Bank from Russia,Aktiengesellschaft,WZHZAT1,C,NA,NO_PEP,NONE,NO_PEP,NONE,CIS-RUSSIA,3,11 - Banks - FI,66-FI-Corr-B-RU,66-FI-Corr-B-RU - Correspondent Bank from Russia,26,38.92,-33.19,5,35,38,47,45,67,48,41,39,34,27,25,21,77,1.00,0.00,"(-36.4,31.8]"
1598,No_SAR,FI - Corr-Bank CIS,High Risk (special case),N,N,66-FI-Corr-B-CIS - Correspondent Bank from CIS Country,Aktiengesellschaft,WZHZAT1,C,NA,NO_PEP,NONE,NO_PEP,NONE,CIS,3,11 - Banks - FI,66-FI-Corr-B-CIS,66-FI-Corr-B-CIS - Correspondent Bank from CIS Country,168,102.67,63.64,264,110,130,127,115,102,100,101,152,84,101,75,35,74,0.99,0.01,"(51.6,63.9]"
1599,No_SAR,FI - Corr-Bank RUSSIA,High Risk (special case),N,N,66-FI-Corr-B-RU - Correspondent Bank from Russia,Aktiengesellschaft,WZHZAT1,C,NA,NO_PEP,NONE,NO_PEP,NONE,CIS-RUSSIA,3,11 - Banks - FI,66-FI-Corr-B-RU,66-FI-Corr-B-RU - Correspondent Bank from Russia,11,32.17,-65.8,4,11,18,12,13,13,20,19,31,22,36,112,79,74,0.99,0.01,"(-99.1,-51.1]"
1600,No_SAR,FI - Corr-Bank RUSSIA,High Risk (special case),Y,N,66-FI-Corr-B-RU - Correspondent Bank from Russia,Aktiengesellschaft,WZBTOI1,C,NA,NO_PEP,NONE,RELATED_PEP,INHERITED,CIS-RUSSIA,3,11 - Banks - FI,66-FI-Corr-B-RU,66-FI-Corr-B-RU - Correspondent Bank from Russia,16.67,12.08,37.93,17,20,13,17,13,12,16,5,11,13,9,10,6,76,1.00,0.00,"(36.5,43.6]"
